|   AP   |  AP50  |  AP75  |  APs   |  APm   |  APl   |

| 37.799 | 60.917 | 41.044 | 41.711 | 19.860 | 43.669 |
| 34.291 | 57.971 | 37.203 | 37.495 | 16.555 | 46.510 |

| 40.359 | 63.159 | 43.142 | 44.496 | 24.197 | 48.301 |
| 35.377 | 59.246 | 38.259 | 38.873 | 18.456 | 49.000 |

| 43.152 | 65.889 | 46.658 | 47.527 | 26.946 | 44.723 |
| 39.999 | 65.029 | 43.570 | 43.317 | 23.516 | 45.550 |

| 40.481 | 62.349 | 43.041 | 44.453 | 26.038 | 44.855 |
| 36.022 | 59.862 | 38.557 | 38.647 | 22.205 | 46.308 |

| 39.614 | 64.498 | 41.887 | 43.302 | 27.774 | 46.924 |
| 37.832 | 63.877 | 40.408 | 40.799 | 24.824 | 47.594 |

| 52.520 | 74.658 | 58.262 | 53.795 | 49.797 | 62.296 |
| 48.281 | 74.740 | 53.735 | 48.484 | 48.468 | 56.014 |
