|   AP   |  AP50  |  AP75  |  APs   |  APm   |  APl   |

| 39.505 | 61.897 | 43.237 | 44.194 | 24.777 | 42.558 |
| 35.999 | 59.516 | 40.826 | 39.309 | 22.595 | 44.848 |

| 44.880 | 72.360 | 49.589 | 48.122 | 35.698 | 48.092 |
| 42.492 | 70.182 | 47.818 | 44.160 | 35.172 | 55.263 |

| 45.595 | 71.533 | 50.705 | 49.559 | 32.066 | 49.037 |
| 41.752 | 69.749 | 46.812 | 43.843 | 31.903 | 53.269 |

| 44.124 | 70.712 | 48.648 | 47.138 | 37.846 | 42.279 |
| 42.143 | 69.737 | 47.456 | 43.195 | 39.576 | 50.810 |

| 42.730 | 68.823 | 47.371 | 47.924 | 26.368 | 36.142 |
| 40.056 | 67.040 | 44.702 | 43.614 | 25.451 | 41.540 |

| 52.952 | 77.227 | 60.099 | 55.314 | 51.081 | 58.057 |
| 48.390 | 75.704 | 54.896 | 48.988 | 49.536 | 58.169 |
